ad_text,actual_ctr
Flash Sale! Up to 70% off electronics. Ends tonight.,0.033272
Flash Sale! Up to 70% off electronics. Ends tonight.,0.031646
Flash Sale! Up to 70% off electronics. Ends tonight.,0.033658
Final clearance! Everything must go. Buy 1 Get 1 Free on all items.,0.032533
Final clearance! Everything must go. Buy 1 Get 1 Free on all items.,0.028457
Final clearance! Everything must go. Buy 1 Get 1 Free on all items.,0.028457
MEGA DEAL: 80% off all winter jackets. Only 24 hours left!,0.039422
MEGA DEAL: 80% off all winter jackets. Only 24 hours left!,0.037149
MEGA DEAL: 80% off all winter jackets. Only 24 hours left!,0.033685
Last chance! Free shipping + 50% off sitewide. Code: SAVE50,0.034432
Last chance! Free shipping + 50% off sitewide. Code: SAVE50,0.031777
Last chance! Free shipping + 50% off sitewide. Code: SAVE50,0.03177
Clearance event: Up to 90% off. Prices slashed on 1000+ items!,0.037716
Clearance event: Up to 90% off. Prices slashed on 1000+ items!,0.031337
Clearance event: Up to 90% off. Prices slashed on 1000+ items!,0.031894
Black Friday in July! 60% off everything. Today only!,0.032471
Black Friday in July! 60% off everything. Today only!,0.031245
Black Friday in July! 60% off everything. Today only!,0.034855
"BOGO FREE on all shoes! Hurry, ends at midnight!",0.028748
"BOGO FREE on all shoes! Hurry, ends at midnight!",0.027497
"BOGO FREE on all shoes! Hurry, ends at midnight!",0.034635
Warehouse blowout: Everything under $10. Limited stock!,0.027494
Warehouse blowout: Everything under $10. Limited stock!,0.028151
Warehouse blowout: Everything under $10. Limited stock!,0.024809
72-hour flash sale! Save up to 75% on premium brands.,0.028693
72-hour flash sale! Save up to 75% on premium brands.,0.030266
72-hour flash sale! Save up to 75% on premium brands.,0.027238
End of season sale: Buy 2 get 1 free. All categories!,0.027812
End of season sale: Buy 2 get 1 free. All categories!,0.025703
End of season sale: Buy 2 get 1 free. All categories!,0.02637
Deal of the day: 65% off bestselling headphones. Only 50 left!,0.031411
Deal of the day: 65% off bestselling headphones. Only 50 left!,0.03789
Deal of the day: 65% off bestselling headphones. Only 50 left!,0.032964
Exclusive members-only sale: 55% off + free express shipping!,0.026546
Exclusive members-only sale: 55% off + free express shipping!,0.030908
Exclusive members-only sale: 55% off + free express shipping!,0.026168
Fire sale! Liquidating entire inventory. Prices start at $1!,0.036602
Fire sale! Liquidating entire inventory. Prices start at $1!,0.030356
Fire sale! Liquidating entire inventory. Prices start at $1!,0.032175
Weekend special: 40% off all home decor. Use code HOME40!,0.026409
