ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,ad_text,conversions,cvr,group_id
708749,17/08/2017,17/08/2017,916,103917,30-34,M,16,19,21,17861.0,2,1.820000023,2.0,0.0,Limited time offer on our newest products! Great for interest 16.,2.0,0.00011197581322434354,30-34-M-16-19-21
708771,17/08/2017,17/08/2017,916,103920,30-34,M,20,25,22,693.0,0,0.0,1.0,0.0,Discover the difference today. Great for interest 20.,1.0,0.001443001443001443,30-34-M-20-25-22
708815,30/08/2017,30/08/2017,916,103928,30-34,M,28,32,32,4259.0,1,1.25,1.0,0.0,Premium quality at an affordable price. Great for interest 28.,1.0,0.00023479690068091102,30-34-M-28-32-32
708895,17/08/2017,17/08/2017,916,103941,30-34,M,16,20,18,10951.0,1,1.269999981,1.0,1.0,Trusted by thousands of customers worldwide. Great for interest 16.,1.0,9.131586156515387e-05,30-34-M-16-20-18
708958,30/08/2017,30/08/2017,916,103952,30-34,M,28,32,31,9502.0,3,3.159999967,1.0,0.0,Limited time offer on our newest products! Great for interest 28.,1.0,0.00010524100189433803,30-34-M-28-32-31
709038,29/08/2017,29/08/2017,916,103965,30-34,M,16,20,22,5117.0,0,0.0,1.0,0.0,Premium quality at an affordable price. Great for interest 16.,1.0,0.00019542700801250732,30-34-M-16-20-22
709040,29/08/2017,29/08/2017,916,103965,30-34,M,16,19,21,5120.0,0,0.0,1.0,0.0,Premium quality at an affordable price. Great for interest 16.,1.0,0.0001953125,30-34-M-16-19-21
709059,30/08/2017,30/08/2017,916,103968,30-34,M,20,26,23,14669.0,7,10.28000021,1.0,1.0,Limited time offer on our newest products! Great for interest 20.,1.0,6.817097279978186e-05,30-34-M-20-26-23
709105,30/08/2017,30/08/2017,916,103976,30-34,M,28,30,32,1241.0,0,0.0,1.0,1.0,Premium quality at an affordable price. Great for interest 28.,1.0,0.0008058017727639,30-34-M-28-30-32
709320,17/08/2017,17/08/2017,916,104012,35-39,M,15,21,20,1422.0,0,0.0,1.0,1.0,Limited time offer on our newest products! Great for interest 15.,1.0,0.0007032348804500703,35-39-M-15-21-20
709614,19/08/2017,19/08/2017,916,104061,40-44,M,16,19,20,19113.0,4,5.5200001,1.0,0.0,Upgrade your lifestyle now. Great for interest 16.,1.0,5.232041019201591e-05,40-44-M-16-19-20
709761,18/08/2017,18/08/2017,916,104085,40-44,M,16,19,20,2861.0,0,0.0,1.0,0.0,Trusted by thousands of customers worldwide. Great for interest 16.,1.0,0.0003495281370150297,40-44-M-16-19-20
710480,17/08/2017,17/08/2017,916,104205,30-34,F,16,21,20,57665.0,14,18.06999969,1.0,1.0,Join our community of happy buyers. Great for interest 16.,1.0,1.7341541663053846e-05,30-34-F-16-21-20
710682,29/08/2017,29/08/2017,916,104239,30-34,F,27,33,32,1186.0,0,0.0,1.0,0.0,Upgrade your lifestyle now. Great for interest 27.,1.0,0.0008431703204047217,30-34-F-27-33-32
711764,27/08/2017,27/08/2017,916,104419,45-49,F,10,16,11,11199.0,4,5.730000019,1.0,1.0,The perfect gift for your loved ones. Great for interest 10.,1.0,8.92936869363336e-05,45-49-F-10-16-11
734785,28/08/2017,28/08/2017,936,108750,30-34,F,10,13,13,5576.0,1,1.529999971,1.0,1.0,Premium quality at an affordable price. Great for interest 10.,1.0,0.0001793400286944046,30-34-F-10-13-13
734796,28/08/2017,28/08/2017,936,108752,30-34,F,16,22,17,39337.0,7,10.03000009,1.0,1.0,The perfect gift for your loved ones. Great for interest 16.,1.0,2.542135902585352e-05,30-34-F-16-22-17
734854,19/08/2017,19/08/2017,936,108762,30-34,F,27,33,32,57022.0,13,20.29000032,3.0,3.0,"Don't miss out, sale ends soon! Great for interest 27.",3.0,5.261127284206096e-05,30-34-F-27-33-32
734866,20/08/2017,20/08/2017,936,108764,30-34,F,29,32,31,11803.0,3,4.440000057,1.0,0.0,Discover the difference today. Great for interest 29.,1.0,8.472422265525714e-05,30-34-F-29-32-31
734901,20/08/2017,20/08/2017,936,108770,30-34,F,64,70,68,1554.0,0,0.0,1.0,0.0,The perfect gift for your loved ones. Great for interest 64.,1.0,0.0006435006435006435,30-34-F-64-70-68
735032,19/08/2017,19/08/2017,936,108791,35-39,F,32,33,34,498.0,0,0.0,1.0,1.0,Trusted by thousands of customers worldwide. Great for interest 32.,1.0,0.002008032128514056,35-39-F-32-33-34
735065,19/08/2017,19/08/2017,936,108797,40-44,F,7,10,12,648.0,0,0.0,1.0,0.0,Trusted by thousands of customers worldwide. Great for interest 7.,1.0,0.0015432098765432098,40-44-F-7-10-12
735184,19/08/2017,19/08/2017,936,108817,40-44,F,63,66,67,4412.0,1,1.450000048,1.0,0.0,Limited time offer on our newest products! Great for interest 63.,1.0,0.00022665457842248413,40-44-F-63-66-67
735213,21/08/2017,21/08/2017,936,108822,45-49,F,10,16,11,73634.0,23,32.97999978,1.0,0.0,Discover the difference today. Great for interest 10.,1.0,1.3580682836733031e-05,45-49-F-10-16-11
737657,18/08/2017,18/08/2017,936,109633,45-49,M,18,23,20,7478.0,2,2.900000095,1.0,1.0,Trusted by thousands of customers worldwide. Great for interest 18.,1.0,0.0001337255950788981,45-49-M-18-23-20
737766,20/08/2017,20/08/2017,936,109659,45-49,M,29,33,33,1447.0,0,0.0,1.0,1.0,Premium quality at an affordable price. Great for interest 29.,1.0,0.000691085003455425,45-49-M-29-33-33
738098,20/08/2017,20/08/2017,936,109738,30-34,F,64,70,68,1539.0,0,0.0,1.0,0.0,"Don't miss out, sale ends soon! Great for interest 64.",1.0,0.000649772579597141,30-34-F-64-70-68
738413,19/08/2017,19/08/2017,936,109813,40-44,F,16,17,19,147159.0,36,58.16000044,3.0,1.0,Discover the difference today. Great for interest 16.,3.0,2.0386112979838136e-05,40-44-F-16-17-19
